Sl.No,Actual,Prediction,Combination,Suggestion/Improvement
117,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
118,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
119,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
120,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
121,1,0,False Negatives,Reduce false negatives by fine-tuning the model's sensitivity or augmenting positive samples.
122,2,1,NA Errors,These are invalid errors which has labels other than 0 or 1
123,2,0,NA Errors,These are invalid errors which has labels other than 0 or 1
124,2,1,NA Errors,These are invalid errors which has labels other than 0 or 1
125,2,1,NA Errors,These are invalid errors which has labels other than 0 or 1
126,2,1,NA Errors,These are invalid errors which has labels other than 0 or 1
127,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
128,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
129,2,1,NA Errors,These are invalid errors which has labels other than 0 or 1
130,2,1,NA Errors,These are invalid errors which has labels other than 0 or 1
131,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
132,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
133,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
134,2,0,NA Errors,These are invalid errors which has labels other than 0 or 1
135,0,2,NA Errors,These are invalid errors which has labels other than 0 or 1
136,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
137,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
138,2,1,NA Errors,These are invalid errors which has labels other than 0 or 1
139,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
140,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
141,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
142,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
143,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
144,2,0,NA Errors,These are invalid errors which has labels other than 0 or 1
145,0,2,NA Errors,These are invalid errors which has labels other than 0 or 1
146,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
147,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
148,2,1,NA Errors,These are invalid errors which has labels other than 0 or 1
149,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
150,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
151,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
152,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
153,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
154,2,0,NA Errors,These are invalid errors which has labels other than 0 or 1
155,1,2,NA Errors,These are invalid errors which has labels other than 0 or 1
156,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
157,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
158,2,1,NA Errors,These are invalid errors which has labels other than 0 or 1
159,2,0,NA Errors,These are invalid errors which has labels other than 0 or 1
160,2,1,NA Errors,These are invalid errors which has labels other than 0 or 1
161,2,1,NA Errors,These are invalid errors which has labels other than 0 or 1
162,2,0,NA Errors,These are invalid errors which has labels other than 0 or 1
163,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
164,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
165,2,1,NA Errors,These are invalid errors which has labels other than 0 or 1
166,2,1,NA Errors,These are invalid errors which has labels other than 0 or 1
167,0,2,NA Errors,These are invalid errors which has labels other than 0 or 1
168,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
169,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
170,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
171,2,0,NA Errors,These are invalid errors which has labels other than 0 or 1
172,0,2,NA Errors,These are invalid errors which has labels other than 0 or 1
173,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
174,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
175,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
176,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
177,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
178,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
179,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
180,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
181,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
182,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
183,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
184,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
185,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
186,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
187,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
188,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
189,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
190,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
191,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
192,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
193,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
194,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
195,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
196,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
197,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
198,2,1,NA Errors,These are invalid errors which has labels other than 0 or 1
199,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
200,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
201,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
202,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
203,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
204,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
205,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
206,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
207,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
208,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
209,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
210,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
211,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
212,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
213,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
214,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
215,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
216,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
217,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
218,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
219,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
220,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
221,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
222,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
223,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
224,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
225,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
226,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
227,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
228,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
229,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
230,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
231,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
232,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
233,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
234,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
235,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
236,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
237,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
238,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
239,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
240,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
241,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
242,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
243,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
244,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
245,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
246,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
247,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
248,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
249,1,2,NA Errors,These are invalid errors which has labels other than 0 or 1
250,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
251,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
252,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
253,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
254,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
255,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
256,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
257,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
258,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
259,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
260,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
261,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
262,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
263,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
264,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
265,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
266,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
267,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
268,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
269,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
270,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
271,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
272,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
273,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
274,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
275,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
276,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
277,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
278,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
279,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
280,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
281,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
282,2,1,NA Errors,These are invalid errors which has labels other than 0 or 1
283,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
284,2,2,NA Errors,These are invalid errors which has labels other than 0 or 1
285,2,1,NA Errors,These are invalid errors which has labels other than 0 or 1

False Positive Rate,9.403669724770642
False Negative Rate,4.472477064220183
True Negative Rate,21.55963302752294
True Positive Rate,45.75688073394495
NA Error Rate,18.807339449541285
